gbifID,species,longitude,latitude
88547408,Bombus occidentalis,-105.5886,39.905
88546330,Bombus pensylvanicus,-105.2666,39.9166
88546327,Bombus pensylvanicus,-105.2,40.0166
88546322,Bombus pensylvanicus,-105.2166,40.0333
88534817,Bombus huntii,-109.25,37.25
88534086,Bombus griseocollis,-105.2666,39.9166
88533951,Bombus griseocollis,-105.3166,40.05
88533812,Bombus frigidus,-105.883,39.667
88533808,Bombus frigidus,-105.883,39.667
88533807,Bombus frigidus,-105.883,39.667
88532858,Bombus frigidus,-105.6,39.667
88532832,Bombus frigidus,-105.617,40.05
88532830,Bombus frigidus,-106.583,39.1
88530922,Bombus frigidus,-106.067,39.367
88530609,Bombus frigidus,-105.517,39.967
88519259,Bombus balteatus,-105.6,39.633
88519236,Bombus balteatus,-106.583,39.1
88519233,Bombus balteatus,-105.65,39.583
88519209,Bombus balteatus,-105.633,39.583
88519207,Bombus balteatus,-105.633,39.583
88519202,Bombus balteatus,-105.6,39.633
88519199,Bombus balteatus,-105.617,39.633
88519193,Bombus balteatus,-105.65,39.583
88519191,Bombus balteatus,-105.65,39.583
88519187,Bombus balteatus,-105.65,39.583
88519183,Bombus balteatus,-105.65,39.583
88519180,Bombus balteatus,-105.65,39.583
88519178,Bombus balteatus,-105.717,40.467
88519174,Bombus balteatus,-105.717,40.467
88519172,Bombus balteatus,-105.65,39.583
88519169,Bombus balteatus,-105.65,39.583
88519166,Bombus balteatus,-105.6,39.633
88519164,Bombus balteatus,-105.65,39.583
88519160,Bombus balteatus,-105.65,39.583
88519156,Bombus balteatus,-105.65,39.583
88519077,Bombus balteatus,-105.65,39.583
88519057,Bombus balteatus,-105.65,39.583
88519053,Bombus balteatus,-105.65,39.583
88519047,Bombus balteatus,-105.717,40.467
88519037,Bombus balteatus,-105.633,39.583
88519031,Bombus balteatus,-105.65,39.583
88519024,Bombus balteatus,-105.717,40.467
88519021,Bombus balteatus,-105.717,40.467
88519019,Bombus balteatus,-105.717,40.467
88519017,Bombus balteatus,-105.617,40.05
88519015,Bombus balteatus,-105.517,39.967
88519014,Bombus balteatus,-105.717,40.467
88519011,Bombus balteatus,-105.65,39.583
88519009,Bombus balteatus,-105.65,39.583
88519007,Bombus balteatus,-105.617,40.05
88519004,Bombus balteatus,-105.517,39.967
88519001,Bombus balteatus,-105.517,39.967
88518999,Bombus balteatus,-105.65,39.583
88518996,Bombus balteatus,-105.617,40.05
88518994,Bombus balteatus,-105.633,39.583
88518992,Bombus balteatus,-105.517,39.967
88518990,Bombus balteatus,-105.65,39.583
88518988,Bombus balteatus,-105.65,39.583
